mode,N,zmin,zmax,D_geo,D_obs,mu_null,sigma_null,zscore,delta,dataset,observer_seed
rankmass,3017,0.0,0.01,0.04352561429707297,0.036522428576824674,0.04403554779330213,0.006345661758433703,-1.183977259186899,-0.007513119216477453,TNG50,13
mass,3017,0.0,0.01,0.08931518424572077,0.14216100057397565,0.10956265926673575,0.036992332154966084,0.881218874513801,0.0325983413072399,TNG50,14
rankmass,3017,0.0,0.01,0.08931518424572077,0.10131195835178164,0.08975411277566926,0.005634563280608438,2.051240708554847,0.011557845576112377,TNG50,14
mass,3017,0.0,0.01,0.05618211290385943,0.08544340310708447,0.08906036811578122,0.035044727565945184,-0.10320996223727383,-0.0036169650086967514,TNG50,15
rankmass,3017,0.0,0.01,0.05618211290385943,0.064185074617781,0.05681038183422857,0.006393936501383086,1.1533884926691402,0.007374692783552433,TNG50,15
mass,3017,0.0,0.01,0.0905142964123734,0.11775317110923503,0.11308836791480038,0.037048690904104134,0.12591006809144484,0.004664803194434644,TNG50,16
rankmass,3017,0.0,0.01,0.0905142964123734,0.09273839156691034,0.09108393888670463,0.005567377766552119,0.29716910717742,0.001654452680205712,TNG50,16
mass,3017,0.0,0.01,0.05371840976231195,0.09408703628209363,0.08630814496569604,0.03366466940117402,0.23106988587050567,0.007778891316397585,TNG50,17
rankmass,3017,0.0,0.01,0.05371840976231195,0.0538655751622552,0.05423934211872535,0.005918383541624973,-0.06315355431789536,-0.0003737669564701507,TNG50,17
mass,3017,0.0,0.01,0.11014141913689939,0.12188750945030216,0.12743676191699987,0.04056869717773773,-0.13678655842423484,-0.005549252466697713,TNG50,18
rankmass,3017,0.0,0.01,0.11014141913689939,0.1028815013829696,0.11041694368452416,0.006234501314766191,-1.2086680106566245,-0.007535442301554562,TNG50,18
mass,3016,0.0,0.01,0.11283348616835841,0.13119416400604236,0.12937587455946026,0.041785205446319876,0.04351514913377664,0.0018182894465821053,TNG50,19
rankmass,3016,0.0,0.01,0.11283348616835841,0.10997717385049316,0.1131371927790976,0.0064109234553463195,-0.4929116609509946,-0.003160018928604444,TNG50,19
mass,69331,0.0,0.06,0.06899525390243988,0.12488895109059571,0.07023056933534469,0.008488818871267177,6.438867713417454,0.05465838175525102,TNG300,0
rankmass,69331,0.0,0.06,0.06899525390243988,0.08011399234640915,0.06901179157572723,0.0012763301854695256,8.698533417978929,0.011102200770681914,TNG300,0
mass,69331,0.0,0.06,0.04391707615827661,0.07573094000754779,0.0457002308890578,0.008488761909688945,3.5377018978719845,0.03003070911848999,TNG300,1
rankmass,69331,0.0,0.06,0.04391707615827661,0.050186776586171704,0.04397646549738601,0.0012449827831657382,4.988270659449714,0.006210311088785697,TNG300,1
